step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.9127,8.6859,8.03e+11,1.62e+12,81920
40,7.4350,7.5284,1.61e+12,3.24e+12,163840
60,7.1530,7.1767,2.41e+12,4.85e+12,245760
80,6.8742,6.9485,3.21e+12,6.47e+12,327680
100,6.7469,6.7918,4.01e+12,8.09e+12,409600
120,6.6902,6.6960,4.82e+12,9.71e+12,491520
140,6.4817,6.5997,5.62e+12,1.13e+13,573440
160,6.5282,6.5245,6.42e+12,1.29e+13,655360
180,6.3105,6.4541,7.22e+12,1.46e+13,737280
200,6.4526,6.3936,8.03e+12,1.62e+13,819200
220,6.3616,6.3351,8.83e+12,1.78e+13,901120
240,6.3547,6.2836,9.63e+12,1.94e+13,983040
260,6.3906,6.2409,1.04e+13,2.10e+13,1064960
280,6.2749,6.2025,1.12e+13,2.27e+13,1146880
300,6.2393,6.1682,1.20e+13,2.43e+13,1228800
320,6.1292,6.1290,1.28e+13,2.59e+13,1310720
340,6.1232,6.0915,1.36e+13,2.75e+13,1392640
360,5.9811,6.0587,1.44e+13,2.91e+13,1474560
380,5.9040,6.0306,1.52e+13,3.07e+13,1556480
400,5.9178,6.0046,1.61e+13,3.24e+13,1638400
420,6.0794,5.9822,1.69e+13,3.40e+13,1720320
440,5.9761,5.9507,1.77e+13,3.56e+13,1802240
460,5.9787,5.9327,1.85e+13,3.72e+13,1884160
480,5.9729,5.9021,1.93e+13,3.88e+13,1966080
500,5.6946,5.8847,2.01e+13,4.05e+13,2048000
520,5.7659,5.8625,2.09e+13,4.21e+13,2129920
540,5.8127,5.8418,2.17e+13,4.37e+13,2211840
560,5.8595,5.8242,2.25e+13,4.53e+13,2293760
580,5.7805,5.7992,2.33e+13,4.69e+13,2375680
600,5.7606,5.7849,2.41e+13,4.85e+13,2457600
620,5.8910,5.7687,2.49e+13,5.02e+13,2539520
640,5.6618,5.7591,2.57e+13,5.18e+13,2621440
660,5.7113,5.7380,2.65e+13,5.34e+13,2703360
680,5.7551,5.7270,2.73e+13,5.50e+13,2785280
700,5.6736,5.7116,2.81e+13,5.66e+13,2867200
720,5.7773,5.6949,2.89e+13,5.83e+13,2949120
740,5.6661,5.6803,2.97e+13,5.99e+13,3031040
760,5.6359,5.6630,3.05e+13,6.15e+13,3112960
780,5.7003,5.6534,3.13e+13,6.31e+13,3194880
800,5.6014,5.6346,3.21e+13,6.47e+13,3276800
820,5.5452,5.6235,3.29e+13,6.63e+13,3358720
840,5.5805,5.6178,3.37e+13,6.80e+13,3440640
860,5.6284,5.6019,3.45e+13,6.96e+13,3522560
880,5.5025,5.5882,3.53e+13,7.12e+13,3604480
900,5.6948,5.5817,3.61e+13,7.28e+13,3686400
920,5.5438,5.5656,3.69e+13,7.44e+13,3768320
940,5.5496,5.5604,3.77e+13,7.61e+13,3850240
960,5.5650,5.5491,3.85e+13,7.77e+13,3932160
980,5.6939,5.5389,3.93e+13,7.93e+13,4014080
1000,5.3649,5.5293,4.01e+13,8.09e+13,4096000
1020,5.6789,5.5208,4.09e+13,8.25e+13,4177920
1040,5.4384,5.5154,4.17e+13,8.41e+13,4259840
1060,5.5328,5.5000,4.25e+13,8.58e+13,4341760
1080,5.4946,5.4945,4.33e+13,8.74e+13,4423680
1100,5.6170,5.4868,4.41e+13,8.90e+13,4505600
1120,5.3445,5.4753,4.49e+13,9.06e+13,4587520
1140,5.4693,5.4677,4.57e+13,9.22e+13,4669440
1160,5.3723,5.4620,4.66e+13,9.39e+13,4751360
1180,5.3237,5.4559,4.74e+13,9.55e+13,4833280
1200,5.3759,5.4431,4.82e+13,9.71e+13,4915200
1220,5.4422,5.4362,4.90e+13,9.87e+13,4997120
1240,5.4464,5.4293,4.98e+13,1.00e+14,5079040
1260,5.4933,5.4219,5.06e+13,1.02e+14,5160960
1280,5.5089,5.4151,5.14e+13,1.04e+14,5242880
1300,5.4644,5.4142,5.22e+13,1.05e+14,5324800
1320,5.3952,5.4102,5.30e+13,1.07e+14,5406720
1340,5.3976,5.4018,5.38e+13,1.08e+14,5488640
1360,5.3539,5.3876,5.46e+13,1.10e+14,5570560
1380,5.4512,5.3836,5.54e+13,1.12e+14,5652480
1400,5.3565,5.3784,5.62e+13,1.13e+14,5734400
1420,5.3686,5.3730,5.70e+13,1.15e+14,5816320
1440,5.3456,5.3649,5.78e+13,1.17e+14,5898240
1460,5.4258,5.3654,5.86e+13,1.18e+14,5980160
1480,5.2855,5.3573,5.94e+13,1.20e+14,6062080
1500,5.3373,5.3526,6.02e+13,1.21e+14,6144000
1520,5.3848,5.3437,6.10e+13,1.23e+14,6225920
1540,5.4687,5.3388,6.18e+13,1.25e+14,6307840
1560,5.4058,5.3371,6.26e+13,1.26e+14,6389760
1580,5.2885,5.3294,6.34e+13,1.28e+14,6471680
1600,5.1933,5.3246,6.42e+13,1.29e+14,6553600
1620,5.4122,5.3216,6.50e+13,1.31e+14,6635520
1640,5.2935,5.3134,6.58e+13,1.33e+14,6717440
1660,5.3828,5.3112,6.66e+13,1.34e+14,6799360
1680,5.4144,5.3055,6.74e+13,1.36e+14,6881280
1700,5.1641,5.3037,6.82e+13,1.38e+14,6963200
1720,5.4668,5.2979,6.90e+13,1.39e+14,7045120
1740,5.3055,5.2915,6.98e+13,1.41e+14,7127040
1760,5.2711,5.2881,7.06e+13,1.42e+14,7208960
1780,5.2722,5.2816,7.14e+13,1.44e+14,7290880
1800,5.2005,5.2782,7.22e+13,1.46e+14,7372800
1820,5.4631,5.2741,7.30e+13,1.47e+14,7454720
1840,5.2893,5.2697,7.38e+13,1.49e+14,7536640
1860,5.2236,5.2635,7.46e+13,1.50e+14,7618560
1880,5.2426,5.2627,7.54e+13,1.52e+14,7700480
1900,5.3111,5.2594,7.62e+13,1.54e+14,7782400
1920,5.2571,5.2566,7.71e+13,1.55e+14,7864320
1940,5.1303,5.2479,7.79e+13,1.57e+14,7946240
1960,5.2740,5.2467,7.87e+13,1.59e+14,8028160
1980,5.2737,5.2415,7.95e+13,1.60e+14,8110080
2000,5.1487,5.2416,8.03e+13,1.62e+14,8192000
2020,5.2132,5.2354,8.11e+13,1.63e+14,8273920
2040,5.1755,5.2331,8.19e+13,1.65e+14,8355840
2060,5.3470,5.2319,8.27e+13,1.67e+14,8437760
